region,caseNumber,caseNumberFull,consulate,status,submitDate,statusDate,Issued,AP,Ready,Refused,Refused221g,InTransit,Transfer,NVC,2nlDate
AS,9878,2023AS9878,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9879,2023AS9879,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9883,2023AS9883,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9885,2023AS9885,TKY,Ready,01-Nov-2021,17-Feb-2023,0,0,2,0,0,0,0,0,16-Feb-2023
AS,9886,2023AS9886,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9890,2023AS9890,KDU,Ready,04-Nov-2021,21-Feb-2023,0,0,4,0,0,0,0,0,15-Feb-2023
AS,9892,2023AS9892,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9893,2023AS9893,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9894,2023AS9894,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9897,2023AS9897,ISL,Ready,03-Nov-2021,24-Jan-2023,0,0,3,0,0,0,0,0,23-Jan-2023
AS,9898,2023AS9898,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9902,2023AS9902,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9903,2023AS9903,BGH,Ready,08-Nov-2021,26-Jan-2023,0,0,1,0,0,0,0,0,17-Jan-2023
AS,9904,2023AS9904,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9907,2023AS9907,ISL,Ready,09-Oct-2021,24-Jan-2023,0,0,1,0,0,0,0,0,23-Jan-2023
AS,9908,2023AS9908,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9909,2023AS9909,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9910,2023AS9910,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9911,2023AS9911,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9913,2023AS9913,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9914,2023AS9914,ISL,Ready,08-Oct-2021,02-Feb-2023,0,0,1,0,0,0,0,0,23-Jan-2023
AS,9917,2023AS9917,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9918,2023AS9918,KDU,Ready,09-Oct-2021,21-Feb-2023,0,0,1,0,0,0,0,0,15-Feb-2023
AS,9920,2023AS9920,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9921,2023AS9921,AMM,Issued,20-Oct-2021,12-Feb-2023,1,0,0,0,0,0,0,0,01-Jan-2023
AS,9922,2023AS9922,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9923,2023AS9923,JAK,Refused221g,07-Oct-2021,02-Feb-2023,0,0,2,0,2,0,0,0,01-Jan-2023
AS,9929,2023AS9929,BRT,Ready,06-Nov-2021,19-Jan-2023,0,0,1,0,0,0,0,0,17-Jan-2023
AS,9930,2023AS9930,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9931,2023AS9931,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9932,2023AS9932,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9938,2023AS9938,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9939,2023AS9939,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9940,2023AS9940,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9943,2023AS9943,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9945,2023AS9945,BMB,Ready,08-Nov-2021,09-Feb-2023,0,0,1,0,0,0,0,0,19-Jan-2023
AS,9946,2023AS9946,KDU,Ready,03-Nov-2021,21-Feb-2023,0,0,1,0,0,0,0,0,15-Feb-2023
AS,9949,2023AS9949,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9952,2023AS9952,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9953,2023AS9953,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9956,2023AS9956,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9958,2023AS9958,KDU,Ready,04-Nov-2021,21-Feb-2023,0,0,3,0,0,0,0,0,15-Feb-2023
AS,9961,2023AS9961,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9963,2023AS9963,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9964,2023AS9964,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9967,2023AS9967,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9968,2023AS9968,ISL,Ready,23-Oct-2021,16-Feb-2023,0,0,4,0,0,0,0,0,15-Feb-2023
AS,9969,2023AS9969,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9970,2023AS9970,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9972,2023AS9972,KDU,Ready,25-Oct-2021,21-Feb-2023,0,0,3,0,0,0,0,0,15-Feb-2023
AS,9974,2023AS9974,KDU,Ready,30-Oct-2021,21-Feb-2023,0,0,3,0,0,0,0,0,15-Feb-2023
AS,9975,2023AS9975,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9977,2023AS9977,RNG,Ready,04-Nov-2021,06-Feb-2023,0,0,2,0,0,0,0,0,01-Jan-2023
AS,9978,2023AS9978,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9979,2023AS9979,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9983,2023AS9983,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9986,2023AS9986,ABD,Ready,30-Oct-2021,17-Feb-2023,0,0,1,0,0,0,0,0,14-Feb-2023
AS,9987,2023AS9987,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9991,2023AS9991,RNG,Ready,30-Oct-2021,09-Feb-2023,0,0,4,0,0,0,0,0,01-Jan-2023
AS,9994,2023AS9994,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9996,2023AS9996,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,9998,2023AS9998,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10000,2023AS10000,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10002,2023AS10002,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10003,2023AS10003,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10004,2023AS10004,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10005,2023AS10005,KDU,Ready,25-Oct-2021,21-Feb-2023,0,0,1,0,0,0,0,0,15-Feb-2023
AS,10006,2023AS10006,KDU,Ready,07-Nov-2021,21-Feb-2023,0,0,3,0,0,0,0,0,15-Feb-2023
AS,10007,2023AS10007,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10008,2023AS10008,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10010,2023AS10010,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10012,2023AS10012,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10015,2023AS10015,AMM,Issued,20-Oct-2021,15-Feb-2023,3,0,0,0,0,0,0,0,01-Jan-2023
AS,10016,2023AS10016,KDU,Ready,28-Oct-2021,21-Feb-2023,0,0,4,0,0,0,0,0,15-Feb-2023
AS,10017,2023AS10017,KDU,Ready,26-Oct-2021,21-Feb-2023,0,0,2,0,0,0,0,0,15-Feb-2023
AS,10019,2023AS10019,KDU,Ready,27-Oct-2021,21-Feb-2023,0,0,1,0,0,0,0,0,15-Feb-2023
AS,10020,2023AS10020,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10021,2023AS10021,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10023,2023AS10023,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10025,2023AS10025,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10026,2023AS10026,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10030,2023AS10030,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10033,2023AS10033,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10035,2023AS10035,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10036,2023AS10036,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10038,2023AS10038,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10039,2023AS10039,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10040,2023AS10040,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10043,2023AS10043,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10045,2023AS10045,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10052,2023AS10052,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10054,2023AS10054,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10056,2023AS10056,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10060,2023AS10060,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10062,2023AS10062,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10066,2023AS10066,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10067,2023AS10067,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10068,2023AS10068,None,NVC,None,None,0,0,0,0,0,0,0,1,None
AS,10074,2023AS10074,None,InTransit,None,None,0,0,0,0,0,1,0,0,21-Feb-2023
